COURSES,,
COURSE,NAME,CREDITS
BME303L,INTRODUCTION TO BME DESIGN,3
BIO311C,INTRODUCTORY BIOLOGY I,3
BIO206L,INTRODUCTORY LAB EXPERIMENTS IN BIOLOGY,2
CH301,PRINCIPLES OF CHEMISTRY I,3
M408C,DIFFERENTIAL AND INTEGRAL CALCULUS,3
UGS302,FIRST YEAR SIGNATURE COURSE,3
UGS303,FIRST YEAR SIGNATURE COURSE,3
BME303,INTRODUCTION TO COMPUTING,3
CH302,PRINCIPLES OF CHEMISTRY II,3
CH204,INTRODUCTION TO CHEMICAL PRACTICE,2
M408D,SEQUENCES SERIES AND MULTIVARIATE CALCULUS,3
PHY303K,ENGINEERING PHYSICS I,3
,,
,,
RELATIONSHIPS,,
COURSE,RELATIONSHIP,ARGUMENT
