,course_number,department,name,Days,Hour,Instructor,Room,Status,Unique
0,,,,,,,,,
1,303,BME,INTRODUCTION TO COMPUTING,TTH|W,2:00 p.m.-3:30 p.m.|10:00 a.m.-12:00 p.m.,"TELANG, N",WAG 101|BME 3.312,open; restricted,13215
2,303,BME,INTRODUCTION TO COMPUTING,TTH|M,2:00 p.m.-3:30 p.m.|11:00 a.m.-1:00 p.m.,"TELANG, N",WAG 101|BME 3.312,closed,13220
3,303,BME,INTRODUCTION TO COMPUTING,TTH|M,2:00 p.m.-3:30 p.m.|2:00 p.m.-4:00 p.m.,"TELANG, N",WAG 101|BME 3.312,open; restricted,13225
4,303,BME,INTRODUCTION TO COMPUTING,TTH|M,2:00 p.m.-3:30 p.m.|4:00 p.m.-6:00 p.m.,"TELANG, N",WAG 101|GDC 6.202,closed,13230
5,303L,BME,INTRODUCTION TO BME DESIGN,MWF|T,9:00 a.m.-10:00 a.m.|9:30 a.m.-12:30 p.m.,"PUPERI, D",BUR 208|EER 1.524,closed,13235
6,303L,BME,INTRODUCTION TO BME DESIGN,MWF|TH,9:00 a.m.-10:00 a.m.|9:30 a.m.-12:30 p.m.,"PUPERI, D",BUR 208|EER 1.524,open; restricted,13240
7,303L,BME,INTRODUCTION TO BME DESIGN,MWF|F,9:00 a.m.-10:00 a.m.|12:00 p.m.-3:00 p.m.,"PUPERI, D",BUR 208|EER 1.524,open; restricted,13245
8,303L,BME,INTRODUCTION TO BME DESIGN,MWF|TH,9:00 a.m.-10:00 a.m.|3:30 p.m.-6:30 p.m.,"PUPERI, D",BUR 208|EER 1.524,closed,13250
9,311,BME,NETWORK ANLY IN BIOMED ENGR,TTH,8:00 a.m.-9:30 a.m.,"TELANG, N",BUR 130,open; restricted,13255
10,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|T,11:00 a.m.-12:00 p.m.|9:30 a.m.-12:30 p.m.,"YEH, H",ECJ 1.202|BME 3.312,closed,13260
11,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|TH,11:00 a.m.-12:00 p.m.|9:30 a.m.-12:30 p.m.,"YEH, H",ECJ 1.202|BME 3.312,closed,13265
12,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|T,11:00 a.m.-12:00 p.m.|12:30 p.m.-3:30 p.m.,"YEH, H",ECJ 1.202|BME 3.312,closed,13270
13,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|F,11:00 a.m.-12:00 p.m.|2:00 p.m.-5:00 p.m.,"YEH, H",ECJ 1.202|BME 3.312,open; restricted,13275
14,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|F,11:00 a.m.-12:00 p.m.|2:00 p.m.-5:00 p.m.,"YEH, H",ECJ 1.202|GDC 2.410,closed,13280
15,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|W,11:00 a.m.-12:00 p.m.|3:00 p.m.-6:00 p.m.,"YEH, H",ECJ 1.202|BME 3.312,closed,13285
16,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|T,11:00 a.m.-12:00 p.m.|3:30 p.m.-6:30 p.m.,"YEH, H",ECJ 1.202|BME 3.312,closed,13290
17,313L,BME,INTRO NUMERICAL MTHDS IN BME,MW|M,11:00 a.m.-12:00 p.m.|5:00 p.m.-8:00 p.m.,"YEH, H",ECJ 1.202|GDC 2.410,closed,13295
18,214L,BME,COMPUT FUND OF BME DESIGN,MW|F,10:00 a.m.-11:00 a.m.|10:00 a.m.-1:00 p.m.,"PUPERI, D",BUR 108|BME 3.312,open; restricted,13300
19,214L,BME,COMPUT FUND OF BME DESIGN,MW|TH,10:00 a.m.-11:00 a.m.|3:30 p.m.-6:30 p.m.,"PUPERI, D",BUR 108|BME 3.312,open; restricted,13305
20,214L,BME,COMPUT FUND OF BME DESIGN,MW|M,10:00 a.m.-11:00 a.m.|5:00 p.m.-8:00 p.m.,"PUPERI, D",BUR 108|BME 3.312,open; restricted,13310
21,,,,,,,,,
22,320,BME,INTL PERSPTS ON BME DESIGN-POR,,,"MARKEY, M",,open,13315
23,325LX,BME,COOPERATIVE ENGINEERING,,,,,open; restricted,13320
24,325LY,BME,COOPERATIVE ENGINEERING,,,,,open; restricted,13325
25,325LZ,BME,COOPERATIVE ENGINEERING,,,,,open; restricted,13330
26,225MA,BME,COOPERATIVE ENGINEERING,,,,,open; restricted,13335
27,225MB,BME,COOPERATIVE ENGINEERING,,,,,open; restricted,13340
28,125N,BME,COOPERATIVE ENGINEERING,,,,,open; restricted,13345
29,333T,BME,ENGINEERING COMMUNICATION,MWF|M,9:00 a.m.-10:00 a.m.|2:00 p.m.-3:00 p.m.,"DEMONT, B",GDC 4.304|GDC 2.502,closed,13350
30,333T,BME,ENGINEERING COMMUNICATION,MWF|W,9:00 a.m.-10:00 a.m.|2:00 p.m.-3:00 p.m.,"DEMONT, B",GDC 4.304|GEA 127,closed,13355
31,333T,BME,ENGINEERING COMMUNICATION-ITA,,,"DEMONT, B",,cancelled,13360
32,333T,BME,ENGINEERING COMMUNICATION-ITA,,,"DEMONT, B",,open; restricted,13361
33,335,BME,ENGR PROBABILITY & STATISTICS,TTH|M,12:30 p.m.-2:00 p.m.|3:00 p.m.-4:00 p.m.,,CLA 0.126|BIO 301,closed,13365
